Year,"Pounds x 100,000 of pesticides used",Chemical,Category
1999,18.84269179,Chlorpyrifos,State
2000,16.61423087,Chlorpyrifos,State
2001,19.4459351,Chlorpyrifos,State
2002,13.36450142,Chlorpyrifos,State
2003,14.44025158,Chlorpyrifos,State
2004,16.56380571,Chlorpyrifos,State
2005,19.55018128,Chlorpyrifos,State
2006,19.1880098,Chlorpyrifos,State
2007,14.37403674,Chlorpyrifos,State
2008,13.63119412,Chlorpyrifos,State
2009,12.40523468,Chlorpyrifos,State
2010,12.84861927,Chlorpyrifos,State
2011,12.97495492,Chlorpyrifos,State
2012,10.9960616,Chlorpyrifos,State
2013,14.6422829,Chlorpyrifos,State
2014,13.06563532,Chlorpyrifos,State
1999,5.683007609,Diazinon,State
2000,5.596136718,Diazinon,State
2001,4.888373956,Diazinon,State
2002,5.007623634,Diazinon,State
2003,4.614196426,Diazinon,State
2004,4.69797175,Diazinon,State
2005,3.911182442,Diazinon,State
2006,3.828296712,Diazinon,State
2007,3.448143652,Diazinon,State
2008,2.566591264,Diazinon,State
2009,1.415088158,Diazinon,State
2010,1.262738995,Diazinon,State
2011,0.863205077,Diazinon,State
2012,0.78091639,Diazinon,State
2013,0.614366878,Diazinon,State
2014,0.601002514,Diazinon,State
1999,6.362848097,Malathion,State
2000,4.469023537,Malathion,State
2001,4.637178433,Malathion,State
2002,4.848471395,Malathion,State
2003,3.831808541,Malathion,State
2004,4.114197649,Malathion,State
2005,3.67532489,Malathion,State
2006,3.584248344,Malathion,State
2007,4.30680223,Malathion,State
2008,4.665214181,Malathion,State
2009,4.915270525,Malathion,State
2010,5.182419614,Malathion,State
2011,4.941147451,Malathion,State
2012,3.820645039,Malathion,State
2013,4.113851869,Malathion,State
2014,4.194200116,Malathion,State
1999,3.116343115,Chlorpyrifos,Merced
2000,0.712256855,Chlorpyrifos,Merced
2001,0.561920102,Chlorpyrifos,Merced
2002,0.291569648,Chlorpyrifos,Merced
2003,0.504725538,Chlorpyrifos,Merced
2004,0.643331619,Chlorpyrifos,Merced
2005,0.679109566,Chlorpyrifos,Merced
2006,0.658602142,Chlorpyrifos,Merced
2007,0.469463209,Chlorpyrifos,Merced
2008,0.617192385,Chlorpyrifos,Merced
2009,0.577103155,Chlorpyrifos,Merced
2010,0.412841172,Chlorpyrifos,Merced
2011,0.338613572,Chlorpyrifos,Merced
2012,0.386629433,Chlorpyrifos,Merced
2013,0.408819812,Chlorpyrifos,Merced
2014,0.535261962,Chlorpyrifos,Merced
1999,0.130414048,Diazinon,Merced
2000,0.094159626,Diazinon,Merced
2001,0.080563515,Diazinon,Merced
2002,0.090280578,Diazinon,Merced
2003,0.091312642,Diazinon,Merced
2004,0.198202446,Diazinon,Merced
2005,0.037066844,Diazinon,Merced
2006,0.030123925,Diazinon,Merced
2007,0.021039287,Diazinon,Merced
2008,0.014708483,Diazinon,Merced
2009,0.011572987,Diazinon,Merced
2010,0.009447932,Diazinon,Merced
2011,0.00815122,Diazinon,Merced
2012,0.011244122,Diazinon,Merced
2013,0.01522537,Diazinon,Merced
2014,0.005391592,Diazinon,Merced
1999,0.165943187,Malathion,Merced
2000,0.123251712,Malathion,Merced
2001,0.172726264,Malathion,Merced
2002,0.234497276,Malathion,Merced
2003,0.096811042,Malathion,Merced
2004,0.173303539,Malathion,Merced
2005,0.183187855,Malathion,Merced
2006,0.24878865,Malathion,Merced
2007,0.2907566,Malathion,Merced
2008,0.257105678,Malathion,Merced
2009,0.20757248,Malathion,Merced
2010,0.167225102,Malathion,Merced
2011,0.504299541,Malathion,Merced
2012,0.262233227,Malathion,Merced
2013,0.348256248,Malathion,Merced
2014,0.203969605,Malathion,Merced
