Date,Chemical,Crop,Rate,Chemical
1/1/1993,0.018614,Almond, Max Labeled Rate,Chlorpyrifos
1/2/1993,0.0049506,Almond, Max Labeled Rate,Chlorpyrifos
1/3/1993,0.0045327,Almond, Max Labeled Rate,Chlorpyrifos
1/4/1993,0.0044449,Almond, Max Labeled Rate,Chlorpyrifos
1/5/1993,1.6278,Almond, Max Labeled Rate,Chlorpyrifos
1/6/1993,0.032756,Almond, Max Labeled Rate,Chlorpyrifos
1/7/1993,0.0053768,Almond, Max Labeled Rate,Chlorpyrifos
1/8/1993,0.0046165,Almond, Max Labeled Rate,Chlorpyrifos
1/9/1993,0.0045195,Almond, Max Labeled Rate,Chlorpyrifos
1/10/1993,0.0044405,Almond, Max Labeled Rate,Chlorpyrifos
1/11/1993,0.0043627,Almond, Max Labeled Rate,Chlorpyrifos
1/12/1993,0.0042866,Almond, Max Labeled Rate,Chlorpyrifos
1/13/1993,0.27327,Almond, Max Labeled Rate,Chlorpyrifos
1/14/1993,0.1873,Almond, Max Labeled Rate,Chlorpyrifos
1/15/1993,0.0085434,Almond, Max Labeled Rate,Chlorpyrifos
1/16/1993,0.0042319,Almond, Max Labeled Rate,Chlorpyrifos
1/17/1993,0.0040547,Almond, Max Labeled Rate,Chlorpyrifos
1/18/1993,0.0039817,Almond, Max Labeled Rate,Chlorpyrifos
1/19/1993,0.0039126,Almond, Max Labeled Rate,Chlorpyrifos
1/20/1993,0.0038447,Almond, Max Labeled Rate,Chlorpyrifos
1/21/1993,0.003778,Almond, Max Labeled Rate,Chlorpyrifos
1/22/1993,0.10597,Almond, Max Labeled Rate,Chlorpyrifos
1/23/1993,0.0062044,Almond, Max Labeled Rate,Chlorpyrifos
1/24/1993,0.0036772,Almond, Max Labeled Rate,Chlorpyrifos
1/25/1993,0.0035522,Almond, Max Labeled Rate,Chlorpyrifos
1/26/1993,0.0034894,Almond, Max Labeled Rate,Chlorpyrifos
1/27/1993,0.003429,Almond, Max Labeled Rate,Chlorpyrifos
1/28/1993,0.0033694,Almond, Max Labeled Rate,Chlorpyrifos
1/29/1993,0.0033108,Almond, Max Labeled Rate,Chlorpyrifos
1/30/1993,0.0032533,Almond, Max Labeled Rate,Chlorpyrifos
1/31/1993,0.0031966,Almond, Max Labeled Rate,Chlorpyrifos
2/1/1993,0.0031412,Almond, Max Labeled Rate,Chlorpyrifos
2/2/1993,0.0030868,Almond, Max Labeled Rate,Chlorpyrifos
2/3/1993,0.0030334,Almond, Max Labeled Rate,Chlorpyrifos
2/4/1993,0.0029809,Almond, Max Labeled Rate,Chlorpyrifos
2/5/1993,0.0029293,Almond, Max Labeled Rate,Chlorpyrifos
2/6/1993,0.0028786,Almond, Max Labeled Rate,Chlorpyrifos
2/7/1993,0.0028288,Almond, Max Labeled Rate,Chlorpyrifos
2/8/1993,0.0027799,Almond, Max Labeled Rate,Chlorpyrifos
2/9/1993,0.0027319,Almond, Max Labeled Rate,Chlorpyrifos
2/10/1993,0.0026847,Almond, Max Labeled Rate,Chlorpyrifos
2/11/1993,0.0026383,Almond, Max Labeled Rate,Chlorpyrifos
2/12/1993,0.0025926,Almond, Max Labeled Rate,Chlorpyrifos
2/13/1993,8.4828,Almond, Max Labeled Rate,Chlorpyrifos
2/14/1993,0.19711,Almond, Max Labeled Rate,Chlorpyrifos
2/15/1993,0.0097195,Almond, Max Labeled Rate,Chlorpyrifos
2/16/1993,0.0049735,Almond, Max Labeled Rate,Chlorpyrifos
2/17/1993,10.891,Almond, Max Labeled Rate,Chlorpyrifos
2/18/1993,0.24516,Almond, Max Labeled Rate,Chlorpyrifos
2/19/1993,0.013692,Almond, Max Labeled Rate,Chlorpyrifos
2/20/1993,0.0077985,Almond, Max Labeled Rate,Chlorpyrifos
2/21/1993,0.0075232,Almond, Max Labeled Rate,Chlorpyrifos
2/22/1993,0.007388,Almond, Max Labeled Rate,Chlorpyrifos
2/23/1993,0.0072614,Almond, Max Labeled Rate,Chlorpyrifos
2/24/1993,0.0071368,Almond, Max Labeled Rate,Chlorpyrifos
2/25/1993,0.0070139,Almond, Max Labeled Rate,Chlorpyrifos
2/26/1993,0.0068932,Almond, Max Labeled Rate,Chlorpyrifos
2/27/1993,0.0067745,Almond, Max Labeled Rate,Chlorpyrifos
2/28/1993,0.0066578,Almond, Max Labeled Rate,Chlorpyrifos
3/1/1993,0.0065432,Almond, Max Labeled Rate,Chlorpyrifos
3/2/1993,0.0064306,Almond, Max Labeled Rate,Chlorpyrifos
3/3/1993,0.0063198,Almond, Max Labeled Rate,Chlorpyrifos
3/4/1993,0.0062108,Almond, Max Labeled Rate,Chlorpyrifos
3/5/1993,0.0061013,Almond, Max Labeled Rate,Chlorpyrifos
3/6/1993,0.0059967,Almond, Max Labeled Rate,Chlorpyrifos
3/7/1993,0.0058946,Almond, Max Labeled Rate,Chlorpyrifos
3/8/1993,0.0057932,Almond, Max Labeled Rate,Chlorpyrifos
3/9/1993,0.0056918,Almond, Max Labeled Rate,Chlorpyrifos
3/10/1993,0.005594,Almond, Max Labeled Rate,Chlorpyrifos
3/11/1993,0.0054962,Almond, Max Labeled Rate,Chlorpyrifos
3/12/1993,0.0054023,Almond, Max Labeled Rate,Chlorpyrifos
3/13/1993,0.0053091,Almond, Max Labeled Rate,Chlorpyrifos
3/14/1993,34.515,Almond, Max Labeled Rate,Chlorpyrifos
3/15/1993,0.46542,Almond, Max Labeled Rate,Chlorpyrifos
3/16/1993,0.026267,Almond, Max Labeled Rate,Chlorpyrifos
3/17/1993,0.015077,Almond, Max Labeled Rate,Chlorpyrifos
3/18/1993,0.88495,Almond, Max Labeled Rate,Chlorpyrifos
3/19/1993,0.035846,Almond, Max Labeled Rate,Chlorpyrifos
3/20/1993,0.014832,Almond, Max Labeled Rate,Chlorpyrifos
3/21/1993,0.014063,Almond, Max Labeled Rate,Chlorpyrifos
3/22/1993,0.013809,Almond, Max Labeled Rate,Chlorpyrifos
3/23/1993,0.013572,Almond, Max Labeled Rate,Chlorpyrifos
3/24/1993,18.153,Almond, Max Labeled Rate,Chlorpyrifos
3/25/1993,0.32663,Almond, Max Labeled Rate,Chlorpyrifos
3/26/1993,0.025808,Almond, Max Labeled Rate,Chlorpyrifos
3/27/1993,0.018018,Almond, Max Labeled Rate,Chlorpyrifos
3/28/1993,0.01752,Almond, Max Labeled Rate,Chlorpyrifos
3/29/1993,0.017212,Almond, Max Labeled Rate,Chlorpyrifos
3/30/1993,0.016908,Almond, Max Labeled Rate,Chlorpyrifos
3/31/1993,0.016616,Almond, Max Labeled Rate,Chlorpyrifos
4/1/1993,0.099817,Almond, Max Labeled Rate,Chlorpyrifos
4/2/1993,0.1681,Almond, Max Labeled Rate,Chlorpyrifos
